Machine ID,Machine Name,Linktree Maintenance Destination
3dp-ultimaker-s5-01,Ultimaker S5 #1,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=3dp-ultimaker-s5-01#report
3dp-bambu-x1c-01,Bambu Lab X1 Carbon #1 + AMS,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=3dp-bambu-x1c-01#report
3dp-bambu-h2d-01,Bambu Lab H2D,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=3dp-bambu-h2d-01#report
3dp-stratasys-f370-01,Stratasys F370,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=3dp-stratasys-f370-01#report
laser-epilog-fusion-pro-01,Epilog Fusion Pro Laser,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=laser-epilog-fusion-pro-01#report
laser-epilog-m2-60,Epilog Fusion M2 — 60W CO₂,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=laser-epilog-m2-60#report
laser-epilog-m2-75,Epilog Fusion M2 — 75W CO₂,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=laser-epilog-m2-75#report
laser-glowforge-01,Glowforge Laser,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=laser-glowforge-01#report
cnc-shopbot-full-01,ShopBot Full-Size CNC Router,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=cnc-shopbot-full-01#report
cnc-shopbot-d2418-02,ShopBot Desktop D2418 #2,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=cnc-shopbot-d2418-02#report
cnc-shopbot-d2418-03,ShopBot Desktop D2418 #3,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=cnc-shopbot-d2418-03#report
cnc-carvey-01,Inventables Carvey,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=cnc-carvey-01#report
waterjet-wazer-01,WAZER Desktop Waterjet,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=waterjet-wazer-01#report
cnc-plasma-koike-01,Koike Aronson ShopPro 4×8 CNC Plasma Table,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=cnc-plasma-koike-01#report
cut-kongsberg-v-01,Kongsberg V / ESKO Digital Cutting Table,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=cut-kongsberg-v-01#report
forming-formech-fm660,Formech FM 660 Vacuum Former,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=forming-formech-fm660#report
laminator-agl-compadre,AGL Compadre Wide-Format Laminator,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=laminator-agl-compadre#report
plotter-graphtec-ce6000-40,Graphtec CE6000-40 Cutting Plotter,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=plotter-graphtec-ce6000-40#report
plotter-graphtec-fc8600-130,Graphtec FC8600-130 Cutting Plotter,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=plotter-graphtec-fc8600-130#report
embroidery-smartstitch-s1501b,Smartstitch S-1501B Embroidery Machine,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=embroidery-smartstitch-s1501b#report
print-hp-latex-330,HP Latex 330,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=print-hp-latex-330#report
print-hp-latex-335,HP Latex 335,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=print-hp-latex-335#report
print-sawgrass-sg1000,Sawgrass SG1000 Dye Sublimation Printer,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=print-sawgrass-sg1000#report
press-heat-01,Heat Press,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=press-heat-01#report
weld-miller-212,Miller Millermatic 212 Auto-Set MIG Welder,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=weld-miller-212#report
weld-tig-01,TIG Welder,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=weld-tig-01#report
blast-cyclone-01,Cyclone Abrasive Blast Cabinet,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=blast-cyclone-01#report
machine-mill-01,Vertical Milling Machine,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=machine-mill-01#report
machine-lathe-01,Metal Lathe,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=machine-lathe-01#report
machine-drillpress-01,Drill Press — Machine Shop,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=machine-drillpress-01#report
wood-sawstop-ics,SawStop 10″ Industrial Cabinet Saw,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=wood-sawstop-ics#report
wood-powermatic-wb37,Powermatic WB-37 Wide Belt Sander,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=wood-powermatic-wb37#report
wood-bandsaw-01,Band Saw,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=wood-bandsaw-01#report
wood-mitersaw-01,Miter Saw,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=wood-mitersaw-01#report
wood-jointer-01,Jointer,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=wood-jointer-01#report
wood-planer-01,Thickness Planer,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=wood-planer-01#report
wood-lathe-01,Wood Lathe,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=wood-lathe-01#report
wood-sander-01,Stationary Sander,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=wood-sander-01#report
wood-drillpress-01,Drill Press — Wood Shop,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=wood-drillpress-01#report
finishing-oak-park-beater-01,Oak Park Beater — Early Lee S. McDonald Model,https://YOUR-GITHUB-PAGES-URL/maintenance/index.html?machine=finishing-oak-park-beater-01#report
